"date(Date&Time)","minimum","local"
"2021-12-22",1.09803903103,"Vila nova de Famalicão"
"2021-12-21",5.32809352875,"Esposende"
"2021-12-20",12.7000198364,"Cabeceiras de Basto"
"2021-12-19",0,"Amares"
"2021-12-19",0,"Barcelos"
"2021-12-19",0,"Braga"
"2021-12-19",0,"Cabeceiras de Basto"
"2021-12-19",0,"Celoirico de Basto"
"2021-12-19",0,"Esposende"
"2021-12-19",0,"Fafe"
"2021-12-19",0,"Guimarães"
"2021-12-19",0,"Póvoa de Lanhoso"
"2021-12-19",0,"Terras de Bouro"
"2021-12-19",0,"Vieira do Minho"
"2021-12-19",0,"Vila Verde"
"2021-12-19",0,"Vila nova de Famalicão"
"2021-12-19",0,"Vizela"
"2021-12-18",0,"Braga"
"2021-12-18",0,"Cabeceiras de Basto"
"2021-12-18",0,"Celoirico de Basto"
"2021-12-18",0,"Fafe"
"2021-12-18",0,"Guimarães"
"2021-12-18",0,"Póvoa de Lanhoso"
"2021-12-18",0,"Vieira do Minho"
"2021-12-18",0,"Vila nova de Famalicão"
"2021-12-18",0,"Vizela"
"2021-12-17",0.000000106158438,"Cabeceiras de Basto"
"2021-12-16",0,"Amares"
"2021-12-16",0,"Barcelos"
"2021-12-16",0,"Braga"
"2021-12-16",0,"Cabeceiras de Basto"
"2021-12-16",0,"Celoirico de Basto"
"2021-12-16",0,"Esposende"
"2021-12-16",0,"Fafe"
"2021-12-16",0,"Guimarães"
"2021-12-16",0,"Póvoa de Lanhoso"
"2021-12-16",0,"Terras de Bouro"
"2021-12-16",0,"Vieira do Minho"
"2021-12-16",0,"Vila Verde"
"2021-12-16",0,"Vila nova de Famalicão"
"2021-12-16",0,"Vizela"
"2021-12-15",0,"Amares"
"2021-12-15",0,"Barcelos"
"2021-12-15",0,"Braga"
"2021-12-15",0,"Cabeceiras de Basto"
"2021-12-15",0,"Celoirico de Basto"
"2021-12-15",0,"Esposende"
"2021-12-15",0,"Fafe"
"2021-12-15",0,"Guimarães"
"2021-12-15",0,"Póvoa de Lanhoso"
"2021-12-15",0,"Terras de Bouro"
"2021-12-15",0,"Vieira do Minho"
"2021-12-15",0,"Vila Verde"
"2021-12-15",0,"Vila nova de Famalicão"
"2021-12-15",0,"Vizela"
"2021-12-13",0,"Braga"
"2021-12-13",0,"Guimarães"
"2021-12-13",0,"Póvoa de Lanhoso"
