Data;Cidade;Minimo
2021-12-19;Braga                                                                                               ;1.4
2021-12-24;Cabeceiras de Basto                                                                                 ;6.8
2021-12-23;Cabeceiras de Basto                                                                                 ;7.7
2021-12-21;Cabeceiras de Basto                                                                                 ;9.02
2021-12-18;Cabeceiras de Basto                                                                                 ;-0.7
2021-12-20;Celorico de Basto                                                                                   ;7.701
2021-12-27;Terras de Bouro                                                                                     ;10.349
2021-12-26;Terras de Bouro                                                                                     ;9.162
2021-12-25;Terras de Bouro                                                                                     ;8.602
2021-12-22;Terras de Bouro                                                                                     ;9.953
