Data;Cidade;Minimo
2022-01-10;Braga                                                                                               ;6.7
2022-01-18;Cabeceiras de Basto                                                                                 ;-0.4
2022-01-17;Cabeceiras de Basto                                                                                 ;0.1
2022-01-16;Cabeceiras de Basto                                                                                 ;1.6
2022-01-15;Cabeceiras de Basto                                                                                 ;-1.2
2022-01-14;Cabeceiras de Basto                                                                                 ;-1.9
2022-01-11;Cabeceiras de Basto                                                                                 ;4
2022-01-09;Terras de Bouro                                                                                     ;6.715
2022-01-13;Vila Verde                                                                                          ;-0.351
2022-01-12;Vila Verde                                                                                          ;2.652
